Food,Serving (g),calories (cal)
Blueberries,100.0,46.0
Boysenberry,100.0,50.0
Breadfruit,100.0,103.0
Cactus Pear,100.0,46.0
Canistel,100.0,8.0
Canned Apricots,100.0,56.0
Canned Cherries,100.0,73.0
Canned Cranberries,100.0,187.0
Canned Crushed Pineapple,100.0,60.0
Canned Mandarin Oranges,100.0,141.0
Canned Mango,100.0,33.0
Canned Peaches,100.0,53.0
Canned Pears,100.0,68.0
Canned Pineapple,100.0,86.0
Cantaloupe,100.0,56.0
Carob,100.0,188.0
Casaba Melon,100.0,28.0
Cempedak,100.0,95.0
Chayote,100.0,19.0
Cherimoya,100.0,78.0
Cherries,100.0,64.0
Clementine,100.0,49.0
Cloudberry,100.0,51.0
Coconut,100.0,384.0
Concord Grape,100.0,86.0
Cranberries,100.0,76.0
"Cranberries, dried",100.0,315.0
Currant,100.0,40.0
Custard Apple,100.0,101.0
Cuties Mandarin Orange,100.0,367.0
Date,100.0,294.0
Dragon Fruit,100.0,60.0
Dried Figs,100.0,270.0
Dried Fruit,100.0,258.0
Dried Prunes,100.0,250.0
Durian,100.0,151.0
Egg Fruit,100.0,139.0
Elderberries,100.0,348.0
Ensete,100.0,190.0
Feijoa,100.0,61.0
Fig,100.0,66.0
Fresh Pineapple,100.0,58.0
Frozen Berries,100.0,45.0
Frozen Blueberries,100.0,48.0
Frozen Mixed Berries,100.0,67.0
Fruit Salad,100.0,63.0
Fuji Apple,100.0,65.0
Gac,100.0,40.0
Galia Melon,100.0,56.0
Goji Berry,100.0,325.0
Golden Delicious Apple,100.0,52.0
Golden Raisins,100.0,301.0
Gooseberries,100.0,43.0
Granny Smith,100.0,52.0
Grape,100.0,72.0
Grapefruit,100.0,47.0
Green Apple,100.0,51.0
Green Olives,100.0,141.0
Green Seedless Grapes,100.0,80.0
Greengage,100.0,41.0
Guava,100.0,44.0
Hass Avocado,100.0,393.0
Honeyberry,100.0,53.0
Honeycrisp Apple,100.0,60.0
Honeydew,100.0,36.0
Honeydew Melon,100.0,56.0
Huckleberry,100.0,429.0
Jackfruit,100.0,80.0
Jambul,100.0,60.0
Japanese Persimmon,100.0,70.0
Japanese Plum,100.0,278.0
Java Plum,100.0,465.0
Jostaberry,100.0,47.0
Jujube,100.0,115.0
Kaffir Lime,100.0,70.0
Kiwano Horned Melon,100.0,44.0
Kiwi,100.0,61.0
Kumquat,100.0,75.0
Lemon,100.0,38.0
Lemon Peel,100.0,88.0
Lemonade,100.0,29.0
Lime,100.0,48.0
Loganberry,100.0,55.0
Longan,100.0,74.0
Loquat,100.0,47.0
Lychee,100.0,78.0
Mamey Sapote,100.0,124.0
Mandarin Orange,100.0,53.0
Mango,100.0,61.0
Mangosteen,100.0,76.0
Maracuya,100.0,66.0
Maraschino Cherries,100.0,35.0
Marionberry,100.0,64.0
Medjool Dates,100.0,191.0
Mela,100.0,40.0
Melon,100.0,38.0
Minneola,100.0,70.0
Miracle Fruit,100.0,32.0
Mixed Fruit,100.0,87.0
Mixed Fruit Smoothie,100.0,55.0
Mouse Melon,100.0,15.0
Mulberries,100.0,47.0
Muscadine Grapes,100.0,56.0
Musk melon,100.0,56.0
Nectarine,100.0,59.0
Nopal,100.0,321.0
Olive,100.0,150.0
Orange,100.0,47.0
Papaya,100.0,35.0
Papaya Leaves,100.0,169.0
Passion Fruit,100.0,66.0
Pawpaw,100.0,80.0
Peach,100.0,44.0
Pear,100.0,57.0
Persimmon,100.0,75.0
Physalis,100.0,76.0
Pinapple,100.0,58.0
Pineapple Chunks,100.0,49.0
Pineberry,100.0,29.0
Pink Grapefruit,100.0,47.0
Pink Lady,100.0,52.0
Plantain fried,100.0,309.0
Plantain,100.0,125.0
Plum,100.0,48.0
Poha,100.0,379.0
Pom Potes (Materne),100.0,65.0
Pomegranate,100.0,79.0
Pomelo,100.0,47.0
Prickly Pear,100.0,31.0
Prunes,100.0,48.0
Purple Mangosteen,100.0,76.0
Quince,100.0,50.0
Raisin,100.0,310.0
Rambutan,100.0,69.0
Rasberries,100.0,43.0
Raspberries TK,100.0,45.0
Red Delicious Apple,100.0,19.0
Red Grapes,100.0,33.0
Redcurrant,100.0,41.0
Rhubarb,100.0,20.0
Rose Apple,100.0,25.0
Rose Hips,100.0,162.0
Rowan,100.0,102.0
Salak,100.0,78.0
Salal Berry,100.0,63.0
Sapodilla,100.0,31.0
Satsuma,100.0,47.0
Small Banana,100.0,89.0
Sour Cherries,100.0,54.0
Soursop,100.0,33.0
Star Apple,100.0,67.0
Star Fruit,100.0,30.0
Strawberries,100.0,36.0
Strawberry Guava,100.0,13.0
Strawberry Preserves,100.0,70.0
Surinam Cherry,100.0,404.0
Tamarillo,100.0,61.0
Tamarind,100.0,290.0
Tangelo,100.0,224.0
Tayberry,100.0,316.0
Tomatillo,100.0,46.0
Ugli Fruit,100.0,47.0
Water Melon,100.0,38.0
White Currant,100.0,51.0
White Grapefruit,100.0,88.0
White Sapote,100.0,106.0
Winter melon,100.0,30.0
Yellow Melon,100.0,30.0
Yuzu,100.0,21.0
Meals & Dishes,,
,,
Aloo Ki Sabzi,100.0,223.0
Aloo Paratha,100.0,230.0
Alphabet Soup,100.0,30.0
Apple Crumble,100.0,316.0
Arhar Dal,100.0,100.0
Avocado Toast,100.0,250.0
Bacon and Eggs,100.0,251.0
Baked Potato with Sour Cream,100.0,130.0
Banana Oatmeal Pancake,100.0,202.0
Bean Burrito,100.0,221.0
Bean Stew,100.0,111.0
Bean with Bacon Soup,100.0,117.0
Beef Broth Soup,100.0,8.0
Beef Noodle Soup,100.0,70.0
Beef Stew Meat,100.0,41.0
Beef Stock,100.0,8.0
Beef stew,100.0,74.0
Biryani,100.0,108.0
Black Bean Soup,100.0,103.0
Blueberry Pancakes,100.0,195.0
Boiled Egg,100.0,137.0
Broccoli Cheese Soup,100.0,69.0
Broccoli Soup,100.0,44.0
Burrito,100.0,239.0
Butter Chicken,100.0,168.0
Cabbage Soup,100.0,36.0
Caesar Salad,100.0,187.0
Caesar Salad with Crispy Chicken McDonald's,100.0,60.0
Caesar Salad with Grilled Chicken,100.0,124.0
Cannelloni,100.0,143.0
Carrot Ginger Soup,100.0,79.0
Carrot Soup,100.0,47.0
Chana Daal,100.0,380.0
Cheese Fondue,100.0,274.0
Cheese Lasagna,100.0,130.0
Cheese Soup,100.0,78.0
Chicken And Rice Casserole,100.0,56.0
Chicken Biryani,100.0,253.0
Chicken Bouillon,100.0,224.0
Chicken Broth,100.0,148.0
Chicken Caesar Salad,100.0,184.0
Chicken Chow Mein,100.0,179.0
Chicken Curry,100.0,92.0
Chicken Egg Roll,100.0,19.0
Chicken Fajita,100.0,161.0
Chicken Fried Rice,100.0,173.0
Chicken Fried Steak,100.0,98.0
Chicken Gizzards,100.0,154.0
Chicken Marsala,100.0,101.0
Chicken Mushroom Soup,100.0,54.0
Chicken Noodle Soup,100.0,114.0
Chicken Parmesan,100.0,718.0
Chicken Pizziola,100.0,114.0
Chicken Pot Pie,100.0,161.0
Chicken Rice Soup,100.0,53.0
Chicken Salad,100.0,187.0
Chicken Soup,100.0,246.0
Chicken Stock,100.0,500.0
Chicken Tikka Masala,100.0,190.0
Chicken Tortilla Wrap,100.0,279.0
Chicken Vegetable Soup,100.0,33.0
Chilli con Carne,100.0,100.0
Chimichanga,100.0,246.0
Chip Shop Chips,100.0,214.0
Chitterlings,100.0,233.0
Chop suey,100.0,129.0
Chow Mein Noodles,100.0,471.0
Clam Chowder Soup,100.0,79.0
Cobb Salad,100.0,92.0
Corn & Rice,100.0,113.0
Corn Tamale,100.0,186.0
Corned Beef Hash with Potatoes,100.0,164.0
Cottage Pie,100.0,548.0
Crab Cake,100.0,205.0
Crab Soup,100.0,51.0
Cream of Asparagus Soup,100.0,381.0
Cream of Broccoli Soup,100.0,69.0
Cream of Celery Soup,100.0,72.0
Cream of Chicken Soup,100.0,90.0
Cream of Mushroom Soup,100.0,383.0
Cream of Potato Soup,100.0,74.0
Creamy Chicken Noodle Soup,100.0,92.0
Daal chawal,100.0,110.0
Dal,100.0,131.0
Dim Sum,100.0,41.0
"Dosa, plain",100.0,210.0
Egg Drop Soup,100.0,27.0
Egg Fried Rice,100.0,207.0
Egg Omlette,100.0,154.0
"Egg, fried",100.0,196.0
"Egg, over easy",100.0,143.0
"Egg, sunny side up",100.0,143.0
Eggy Bread,100.0,272.0
Empanada,100.0,335.0
Enchiladas,100.0,273.0
Escarole Soup,100.0,30.0
Fajita,100.0,165.0
Falafel,100.0,350.0
Fish Broth,100.0,39.0
Fish Curry,100.0,92.0
Fish Stock,100.0,38.0
Fish and Chips,100.0,214.0
French Onion Soup,100.0,153.0
French Toast,100.0,208.0
Fried Egg,100.0,206.0
Gazpacho Soup,100.0,50.0
General Tso's Chicken,100.0,295.0
Golden Mushroom Soup,100.0,58.0
Goulash,100.0,90.0
Green Pea Soup,100.0,125.0
Hash Brown Potato,100.0,196.0
"Healthy Choice, Chicken and Rice Soup",100.0,37.0
Hog Maws,100.0,250.0
Homemade Idli,100.0,160.0
Homemade Lasagna,100.0,250.0
Hot & Sour Soup,100.0,257.0
Indian chicken curry,100.0,106.0
Jambalaya,100.0,124.0
Khichdi,100.0,117.0
King Cake,100.0,241.0
Kung Pao Chicken,100.0,129.0
Lasagna,100.0,171.0
Lebanon Bologna,100.0,172.0
Lemon Chicken,100.0,129.0
Lentil Soup,100.0,25.0
Lentil Soup with Ham,100.0,56.0
Liver pate,100.0,317.0
Lobster Bisque Soup,100.0,135.0
Mac and Cheese,100.0,502.0
Manicotti,100.0,139.0
Meat Pie,100.0,204.0
Meatball,100.0,214.0
Meatball Soup,100.0,108.0
Meatloaf,100.0,165.0
Mince Pie,100.0,289.0
Minestrone Soup,100.0,45.0
Miso Soup,100.0,136.0
Moong Masoor Dal,100.0,179.0
Mushroom Barley Soup,100.0,54.0
Mushroom Soup,100.0,88.0
Mutton Curry,100.0,94.0
Noodle Soup,100.0,100.0
Omelet,100.0,387.0
Onion Soup,100.0,16.0
Orange Chicken,100.0,262.0
Oxtail Soup,100.0,84.0
Pad Thai,100.0,100.0
Paella,100.0,120.0
Pasta Bolognese,100.0,146.0
Pasta Pesto,100.0,314.0
Pasta with Tomato Sauce,100.0,341.0
Pide,100.0,273.0
Poached Egg,100.0,137.0
Potato Salad,100.0,105.0
Potato Soup,100.0,92.0
Potatoes au Gratin,100.0,113.0
Pumpkin Cream,100.0,559.0
Pupusas Con Frijoles,100.0,350.0
Rajma,100.0,143.0
Ramen,100.0,62.0
Roast Dinner,100.0,125.0
Sabji,100.0,96.0
Sambar,100.0,287.0
Samosa,100.0,112.0
Sandwich,100.0,225.0
Scotch Broth,100.0,84.0
Scrambled Egg White,100.0,2.0
Scrambled Eggs,100.0,155.0
Scrapple,100.0,227.0
Shepherds Pie,100.0,94.0
Shrimp Cocktail,100.0,122.0
Souffl??,100.0,449.0
Spaghetti with Meat Sauce,100.0,120.0
Spaghetti with Meatballs,100.0,152.0
Spicy Tuna Roll,100.0,107.0
Spinach Souffle,100.0,342.0
Split Pea Soup with Ham,100.0,77.0
Split Pea Soup,100.0,76.0
Spring Roll,100.0,212.0
Squash,100.0,191.0
Stew Beef,100.0,99.0
Stir Fried Vegetables,100.0,138.0
Succotash,100.0,439.0
Sweet & Sour Chicken,100.0,250.0
Taco,100.0,206.0
Tandoori Chicken,100.0,14.0
Tarte Flamb??e,100.0,183.0
Thai Soup,100.0,94.0
Tom Kha Gai,100.0,94.0
Tomato Bisque Soup,100.0,66.0
Tomato Rice Soup,100.0,80.0
Tomato Vegetable Soup,100.0,33.0
Tomatosoup,100.0,36.0
Tripe Soup,100.0,48.0
Tuna Salad,100.0,73.0
Turkey Noodle Soup,100.0,61.0
Turkey Pot Pie,100.0,231.0
Turkey Roll,100.0,188.0
Turkey Soup,100.0,57.0
Turkey Vegetable Soup,100.0,48.0
Vegetable Beef Soup,100.0,48.0
Vegetable Chicken Soup,100.0,33.0
Vegetable Egg Roll,100.0,257.0
Vegetable Lasagna,100.0,119.0
Vegetable Soup,100.0,26.0
Wonton Soup,100.0,32.0
Oawijd,100.0,100.0
